"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.27, 2023"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation"
"2011100000","2011","12000","Chiba-ken","","6,217,000",""
"2011100000","2011","13000","Tokyo-to","","13,198,000",""
"2011100000","2011","14000","Kanagawa-ken","","9,060,000",""
"2011100000","2011","15000","Niigata-ken","","2,364,000",""
"2011100000","2011","16000","Toyama-ken","","1,088,000",""
"2011100000","2011","17000","Ishikawa-ken","","1,167,000",""
"2011100000","2011","18000","Fukui-ken","","803,000",""
"2011100000","2011","19000","Yamanashi-ken","","857,000",""
"2011100000","2011","20000","Nagano-ken","","2,142,000",""
"2011100000","2011","21000","Gifu-ken","","2,071,000",""
"2011100000","2011","22000","Shizuoka-ken","","3,752,000",""
"2011100000","2011","23000","Aichi-ken","","7,418,000",""
"2011100000","2011","24000","Mie-ken","","1,847,000",""
"2011100000","2011","25000","Shiga-ken","","1,413,000",""
"2011100000","2011","26000","Kyoto-fu","","2,633,000",""
"2011100000","2011","27000","Osaka-fu","","8,863,000",""
"2011100000","2011","28000","Hyogo-ken","","5,584,000",""
"2011100000","2011","29000","Nara-ken","","1,395,000",""
"2011100000","2011","30000","Wakayama-ken","","995,000",""
"2011100000","2011","31000","Tottori-ken","","586,000",""
"2011100000","2011","32000","Shimane-ken","","713,000",""
"2011100000","2011","33000","Okayama-ken","","1,941,000",""
"2011100000","2011","34000","Hiroshima-ken","","2,858,000",""
"2011100000","2011","35000","Yamaguchi-ken","","1,444,000",""
"2011100000","2011","36000","Tokushima-ken","","780,000",""
"2011100000","2011","37000","Kagawa-ken","","992,000",""
"2011100000","2011","38000","Ehime-ken","","1,424,000",""
"2011100000","2011","39000","Kochi-ken","","758,000",""
"2011100000","2011","40000","Fukuoka-ken","","5,081,000",""
"2011100000","2011","41000","Saga-ken","","847,000",""
"2011100000","2011","42000","Nagasaki-ken","","1,418,000",""
"2011100000","2011","43000","Kumamoto-ken","","1,813,000",""
"2011100000","2011","44000","Oita-ken","","1,192,000",""
"2011100000","2011","45000","Miyazaki-ken","","1,130,000",""
"2011100000","2011","46000","Kagoshima-ken","","1,697,000",""
"2011100000","2011","47000","Okinawa-ken","","1,402,000",""
"2010100000","2010","01000","Hokkaido","","5,506,419",""
"2010100000","2010","02000","Aomori-ken","","1,373,339",""
"2010100000","2010","03000","Iwate-ken","","1,330,147",""
"2010100000","2010","04000","Miyagi-ken","","2,348,165",""
"2010100000","2010","05000","Akita-ken","","1,085,997",""
"2010100000","2010","06000","Yamagata-ken","","1,168,924",""
"2010100000","2010","07000","Fukushima-ken","","2,029,064",""
"2010100000","2010","08000","Ibaraki-ken","","2,969,770",""
"2010100000","2010","09000","Tochigi-ken","","2,007,683",""
"2010100000","2010","10000","Gumma-ken","","2,008,068",""
"2010100000","2010","11000","Saitama-ken","","7,194,556",""
"2010100000","2010","12000","Chiba-ken","","6,216,289",""
"2010100000","2010","13000","Tokyo-to","","13,159,388",""
"2010100000","2010","14000","Kanagawa-ken","","9,048,331",""
"2010100000","2010","15000","Niigata-ken","","2,374,450",""
"2010100000","2010","16000","Toyama-ken","","1,093,247",""
"2010100000","2010","17000","Ishikawa-ken","","1,169,788",""
"2010100000","2010","18000","Fukui-ken","","806,314",""
"2010100000","2010","19000","Yamanashi-ken","","863,075",""
"2010100000","2010","20000","Nagano-ken","","2,152,449",""
"2010100000","2010","21000","Gifu-ken","","2,080,773",""
"2010100000","2010","22000","Shizuoka-ken","","3,765,007",""
"2010100000","2010","23000","Aichi-ken","","7,410,719",""
"2010100000","2010","24000","Mie-ken","","1,854,724",""
"2010100000","2010","25000","Shiga-ken","","1,410,777",""
"2010100000","2010","26000","Kyoto-fu","","2,636,092",""
"2010100000","2010","27000","Osaka-fu","","8,865,245",""
"2010100000","2010","28000","Hyogo-ken","","5,588,133",""
"2010100000","2010","29000","Nara-ken","","1,400,728",""
"2010100000","2010","30000","Wakayama-ken","","1,002,198",""
"2010100000","2010","31000","Tottori-ken","","588,667",""
"2010100000","2010","32000","Shimane-ken","","717,397",""
"2010100000","2010","33000","Okayama-ken","","1,945,276",""
"2010100000","2010","34000","Hiroshima-ken","","2,860,750",""
"2010100000","2010","35000","Yamaguchi-ken","","1,451,338",""
"2010100000","2010","36000","Tokushima-ken","","785,491",""
"2010100000","2010","37000","Kagawa-ken","","995,842",""
"2010100000","2010","38000","Ehime-ken","","1,431,493",""
"2010100000","2010","39000","Kochi-ken","","764,456",""
"2010100000","2010","40000","Fukuoka-ken","","5,071,968",""
"2010100000","2010","41000","Saga-ken","","849,788",""
"2010100000","2010","42000","Nagasaki-ken","","1,426,779",""
"2010100000","2010","43000","Kumamoto-ken","","1,817,426",""
"2010100000","2010","44000","Oita-ken","","1,196,529",""
"2010100000","2010","45000","Miyazaki-ken","","1,135,233",""
"2010100000","2010","46000","Kagoshima-ken","","1,706,242",""
"2010100000","2010","47000","Okinawa-ken","","1,392,818",""
"2009100000","2009","01000","Hokkaido","","5,524,000",""
"2009100000","2009","02000","Aomori-ken","","1,383,000",""
"2009100000","2009","03000","Iwate-ken","","1,340,000",""
"2009100000","2009","04000","Miyagi-ken","","2,348,000",""
"2009100000","2009","05000","Akita-ken","","1,097,000",""
"2009100000","2009","06000","Yamagata-ken","","1,178,000",""
"2009100000","2009","07000","Fukushima-ken","","2,041,000",""
"2009100000","2009","08000","Ibaraki-ken","","2,970,000",""
"2009100000","2009","09000","Tochigi-ken","","2,011,000",""
"2009100000","2009","10000","Gumma-ken","","2,014,000",""
"2009100000","2009","11000","Saitama-ken","","7,161,000",""
"2009100000","2009","12000","Chiba-ken","","6,180,000",""
"2009100000","2009","13000","Tokyo-to","","13,048,000",""
"2009100000","2009","14000","Kanagawa-ken","","9,006,000",""
"2009100000","2009","15000","Niigata-ken","","2,385,000",""
"2009100000","2009","16000","Toyama-ken","","1,098,000",""
"2009100000","2009","17000","Ishikawa-ken","","1,171,000",""
"2009100000","2009","18000","Fukui-ken","","810,000",""
"2009100000","2009","19000","Yamanashi-ken","","867,000",""
"2009100000","2009","20000","Nagano-ken","","2,162,000",""
"2009100000","2009","21000","Gifu-ken","","2,091,000",""
"2009100000","2009","22000","Shizuoka-ken","","3,783,000",""
"2009100000","2009","23000","Aichi-ken","","7,411,000",""
"2009100000","2009","24000","Mie-ken","","1,864,000",""
"2009100000","2009","25000","Shiga-ken","","1,409,000",""
"2009100000","2009","26000","Kyoto-fu","","2,637,000",""
"2009100000","2009","27000","Osaka-fu","","8,855,000",""
"2009100000","2009","28000","Hyogo-ken","","5,591,000",""
"2009100000","2009","29000","Nara-ken","","1,404,000",""
"2009100000","2009","30000","Wakayama-ken","","1,008,000",""
"2009100000","2009","31000","Tottori-ken","","592,000",""
"2009100000","2009","32000","Shimane-ken","","721,000",""
"2009100000","2009","33000","Okayama-ken","","1,949,000",""
"2009100000","2009","34000","Hiroshima-ken","","2,864,000",""
"2009100000","2009","35000","Yamaguchi-ken","","1,459,000",""
"2009100000","2009","36000","Tokushima-ken","","790,000",""
"2009100000","2009","37000","Kagawa-ken","","999,000",""
"2009100000","2009","38000","Ehime-ken","","1,438,000",""
"2009100000","2009","39000","Kochi-ken","","769,000",""
"2009100000","2009","40000","Fukuoka-ken","","5,064,000",""
"2009100000","2009","41000","Saga-ken","","853,000",""
"2009100000","2009","42000","Nagasaki-ken","","1,434,000",""
"2009100000","2009","43000","Kumamoto-ken","","1,821,000",""
"2009100000","2009","44000","Oita-ken","","1,200,000",""
"2009100000","2009","45000","Miyazaki-ken","","1,138,000",""
"2009100000","2009","46000","Kagoshima-ken","","1,712,000",""
"2009100000","2009","47000","Okinawa-ken","","1,385,000",""
"2008100000","2008","01000","Hokkaido","","5,548,000",""
"2008100000","2008","02000","Aomori-ken","","1,395,000",""
"2008100000","2008","03000","Iwate-ken","","1,352,000",""
"2008100000","2008","04000","Miyagi-ken","","2,349,000",""
"2008100000","2008","05000","Akita-ken","","1,109,000",""
"2008100000","2008","06000","Yamagata-ken","","1,188,000",""
"2008100000","2008","07000","Fukushima-ken","","2,054,000",""
"2008100000","2008","08000","Ibaraki-ken","","2,971,000",""
"2008100000","2008","09000","Tochigi-ken","","2,015,000",""
"2008100000","2008","10000","Gumma-ken","","2,017,000",""
"2008100000","2008","11000","Saitama-ken","","7,136,000",""
"2008100000","2008","12000","Chiba-ken","","6,153,000",""
"2008100000","2008","13000","Tokyo-to","","12,973,000",""
"2008100000","2008","14000","Kanagawa-ken","","8,965,000",""
"2008100000","2008","15000","Niigata-ken","","2,396,000",""
"2008100000","2008","16000","Toyama-ken","","1,103,000",""
"2008100000","2008","17000","Ishikawa-ken","","1,172,000",""
"2008100000","2008","18000","Fukui-ken","","814,000",""
"2008100000","2008","19000","Yamanashi-ken","","871,000",""
"2008100000","2008","20000","Nagano-ken","","2,173,000",""
"2008100000","2008","21000","Gifu-ken","","2,100,000",""
"2008100000","2008","22000","Shizuoka-ken","","3,793,000",""
"2008100000","2008","23000","Aichi-ken","","7,399,000",""
"2008100000","2008","24000","Mie-ken","","1,871,000",""
"2008100000","2008","25000","Shiga-ken","","1,405,000",""
"2008100000","2008","26000","Kyoto-fu","","2,640,000",""
"2008100000","2008","27000","Osaka-fu","","8,847,000",""
"2008100000","2008","28000","Hyogo-ken","","5,592,000",""
"2008100000","2008","29000","Nara-ken","","1,407,000",""
"2008100000","2008","30000","Wakayama-ken","","1,014,000",""
"2008100000","2008","31000","Tottori-ken","","596,000",""
"2008100000","2008","32000","Shimane-ken","","727,000",""
"2008100000","2008","33000","Okayama-ken","","1,953,000",""
"2008100000","2008","34000","Hiroshima-ken","","2,870,000",""
"2008100000","2008","35000","Yamaguchi-ken","","1,466,000",""
"2008100000","2008","36000","Tokushima-ken","","795,000",""
"2008100000","2008","37000","Kagawa-ken","","1,003,000",""
"2008100000","2008","38000","Ehime-ken","","1,445,000",""
"2008100000","2008","39000","Kochi-ken","","775,000",""
"2008100000","2008","40000","Fukuoka-ken","","5,062,000",""
"2008100000","2008","41000","Saga-ken","","856,000",""
"2008100000","2008","42000","Nagasaki-ken","","1,443,000",""
"2008100000","2008","43000","Kumamoto-ken","","1,826,000",""
