DATE,QJPN628BIS
2001-10-01,184553.5287755595
2002-01-01,182038.1258001452
2002-04-01,179536.62920715558
2002-07-01,177007.18216236192
2002-10-01,174160.7797478488
2003-01-01,171314.37733333572
2003-04-01,168483.67123165837
2003-07-01,165621.5725043095
2003-10-01,162973.7146784738
2004-01-01,160325.9945395928
2004-04-01,157942.9087276452
2004-07-01,155559.8229156976
2004-10-01,153640.19139327022
2005-01-01,151720.55987084282
2005-04-01,150008.9733369671
2005-07-01,148278.3860033428
2005-10-01,147086.843097369
2006-01-01,145895.30019139522
2006-04-01,145105.2524453266
2006-07-01,144306.5304211119
2006-10-01,143975.6686689678
2007-01-01,143644.669229869
2007-04-01,143447.0884498745
2007-07-01,143247.44236555952
2007-10-01,142916.4429264607
2008-01-01,142585.4434873619
2008-04-01,141658.8102822309
2008-07-01,140732.03939014522
2008-10-01,139275.72447028328
2009-01-01,136596.8870796401
2009-04-01,134531.3073852307
2009-07-01,136505.0498808552
2009-10-01,135311.7170444703
2010-01-01,137147.6348984401
2010-04-01,137377.15905192503
2010-07-01,138203.280780125
2010-10-01,138019.7440695099
2011-01-01,138295.1179789099
2011-04-01,137652.532961325
2011-07-01,138524.6421323948
2011-10-01,136642.7368355552
2012-01-01,137606.6832054099
2012-04-01,136137.83877267028
2012-07-01,136505.0498808552
2012-10-01,136046.0015738854
2013-01-01,136964.098187825
2013-04-01,138478.65468952502
2013-07-01,139901.6493663495
2013-10-01,139855.66192347973
2014-01-01,141186.8194015193
2014-04-01,140544.2343839344
2014-07-01,141416.34355500422
2014-10-01,140681.92133863442
2015-01-01,144537.4314441438
2015-04-01,144078.5208241287
2015-07-01,145455.39037112868
2015-10-01,143435.7981195891
2016-01-01,146878.3850479532
2016-04-01,148347.0917937381
2016-07-01,148025.868128423
2016-10-01,147061.9217585683
2017-01-01,152615.80045030222
2017-04-01,151330.6304151324
2017-07-01,151651.8540804475
2017-10-01,149724.0990276928
2018-01-01,154956.6163671569
2018-04-01,154222.19415078708
2018-07-01,154359.88110548712
2018-10-01,153487.909621372
2019-01-01,158536.75256326632
2019-04-01,157205.7327721814
2019-07-01,156287.77384519653
2019-10-01,154956.6163671569
2020-01-01,157848.3177897663
2020-04-01,156104.0994476267
2020-07-01,156104.0994476267
2020-10-01,157389.26948279652
2021-01-01,163126.6848851455
2021-04-01,164641.3790738002
2021-07-01,168818.2505315794
2021-10-01,168129.8157580794
2022-01-01,177906.41566350762
2022-04-01,179788.18327339247
2022-07-01,182083.28712128685
2022-10-01,180797.97939916232
2023-01-01,186581.38224438112
